,危险品名称,分子式,相对分子质量,CAS,有害物成分,外观与性状,PH值,熔点,沸点,相对密度,相对蒸汽密度,饱和蒸汽压,临界温度,临界压力,LogP,闪点,引燃温度,燃烧热,爆炸下限,爆炸上限,溶解性,主要用途,稳定性
85,砷酸铁,None,None,10102-49-5,None,绿色斜方晶系结晶或粉末。,None,(分解),None,3.18(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，溶于盐酸。,用作杀虫剂、化学试剂。,None
86,砷酸镁,None,None,10103-50-1,None,白色单斜结晶或粉末。,None,None,None,2.60～2.61(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，溶于酸、氯化铵。,用作杀虫剂。,None
87,砷酸铜,Cu3(AsO4)2 ·4H2O,604.08,10103-61-4,砷酸铜,白色固体,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
88,氯化镉,CdCl2,183.3,10108-64-2,氯化镉,无色单斜晶体,无意义,568,960,4.05(水=1),无资料(空气=1),1.33(656℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,易溶于水，溶于丙酮，微溶于甲醇、乙醇，不溶于乙醚,用于照相术、印染、电镀等工业，并用于制特殊镜子,稳定
89,硝酸铈,Ce(NO3)3·6H2O,434.27,10108-73-3,硝酸铈,白色结晶，工业品呈微红色，有潮解性,无意义,150,200(分解),无资料(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，溶于乙醇、丙酮,用作试剂，用于制造煤气灯网罩、药物，并用于原子能、电子管等工业,稳定
90,氯化亚汞,HgCl2,472.09,10112-91-1,氯化亚汞,白色四角晶体。,None,400(分解),None,7.15(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,不溶于水，不溶于乙醇、乙醚、稀酸，溶于浓硝酸、硫酸。,用作泻剂和制甘汞电极等。,None
91,过锰酸钙,Ca(MnO4)2,277.96,10118-76-0,过锰酸钙,紫色结晶,无意义,130～140(分解),无资料,2.4(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、液氨,用于纺织工业及水的消毒,稳定
92,硫酸镉,CdSO4,208.47,10124-36-4,None,白色单斜晶体,None,1000,None,4.69(水=1),None,None,None,None,None,None,None,None,None,None,溶于水，不溶于乙醇,供制镉电池和镉肥，并用作消毒剂和收敛剂,None
93,硝酸钙,Ca(NO3)2.4H2O,236.15,10124-37-5,硝酸钙,无色透明单斜结晶或粉末。,None,45,None,1.9(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水、液氨、丙酮、醇、乙醇，不溶于浓硝酸。,用于制造烟火、炸药、火柴、肥料等。,None
94,硫酸钴,CoSO4·7H2O,281.15,10124-43-3,硫酸钴,玫瑰红色单斜晶体。,None,96～98,420(-7H2O),1.948(25℃)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水、甲醇，微溶于乙醇。,用于制陶瓷釉料、油漆催干剂和镀钴等。,None
95,氯化铵汞,None,None,10124-48-8,None,白色无定形粉末或易碎的块状物，无气味。,None,None,None,5.7(20℃)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水、醇，溶于热盐酸、硝酸、乙酸。,用于制药。,None
96,亚砷酸钾,KAs2HO4,254.8,10124-50-2,亚砷酸钾,无色针状结晶，有吸湿性,无意义,300(分解),无资料,无资料(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水、微溶于乙醇,用作分析试剂及还原剂,稳定
97,环己烯基三氯硅烷,None,None,10137-69-6,None,无色发烟液体，有刺激性气味。,None,None,202,1.263(25℃)(水=1),7.5(空气=1),None,None,None,None,93(℃),None,None,None,None,None,合成高分子有机硅化合物。,None
98,4-己烯-1-炔-3-醇,C6H8O,None,10138-60-0,4-己烯-1-炔-3-醇,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,硝酸铑,None,None,10139-58-9,None,棕黄色结晶或红色结晶。,None,分解,None,None,None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水。,用作氧化剂。,None
100,硝酸钴,Co(NO3)2,182.95,10141-05-6,硝酸钴,红色棱形结晶，易潮解,无意义,100～105(分解),分解,2.49(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、酸,用作颜料、催化剂及用于陶瓷工业,稳定
101,氯酸铵,NH4ClO3,101.49,10192-29-7,氯酸铵,白色结晶或块状,无意义,102(爆炸),无资料,1.8(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水，微溶于乙醇,用作氧化剂、试剂,稳定
102,N-乙基间甲苯胺,None,None,102-27-2,None,无色至琥珀色液体。,None,None,221,0.9570(水=1),None,None,None,None,None,89,None,None,None,None,不溶于水，溶于醇、醚、盐酸。,用于有机合成和染料中间体。,None
103,异氰酸二氯苯酯,None,None,102-36-3,None,白色至浅棕色固体。,None,42,133(4kPa),1.39(50/4℃)(水=1),None,None,None,None,None,>110,None,None,None,None,溶于多数有机溶剂。,用于合成除莠剂敌草隆。,None
104,"3,4-二氯苄基氯",None,None,102-47-6,None,无色液体。,None,245～252,None,1.4110(水=1),6.76(空气=1),None,None,None,None,110,None,None,None,None,不溶于水，溶于醇、丙酮、醚。,用作杀虫剂、有机合成中间体。,None
105,三正丙胺,C9H21N,143.27,102-69-2,三正丙胺,无色液体，有氨的气味,无资料,-93.5,155～158,0.756(水=1),4.9(空气=1),0.386(20℃)(kPa),320.9,2.23,2.79,29,180,-6335.7,0.7,5.6,微溶于水，溶于乙醚，易溶于乙醇,为有机合成中间体，用于制取全氟化人造血浆和石油化工季胺分子筛催化剂等,稳定
106,三烯丙(基)胺,None,None,102-70-5,None,无色液体。,None,<-70,155-156,0.80(20℃)(水=1),4.73(空气=1),None,None,None,None,39.4,None,None,None,None,微溶于水，溶于乙醇、乙醚、丙酮、苯。,"用于制药,用作化工合成中间体。",None
107,N，N-二丁基胺基乙醇,C10H23NO,173.29,102-81-8,None,无色液体，微有氨的气味,None,-75,224～232,0.89（20℃）(水=1),6.0(空气=1),None,None,None,None,93,None,None,None,None,微溶于水，溶于甲醇、乙醇、乙醚、芳烃、乙酸乙酯，微溶于烃类,用作溶剂、萃取剂及用于有机合成,None
108,三(正)丁胺,C12H27N,185.3,102-82-9,三(正)丁胺,无色至黄色吸湿性液体，有类似氨的气味,无资料,-70,216.5,0.778(水=1),6.4(空气=1),0.0387(25℃)(kPa),365.2,1.8,1.52,86(开杯),210,None,1.4,6,不溶于水，溶于乙醇、乙醚及多数有机溶剂,用作溶剂、中间体、杀虫剂、乳化剂等,稳定
109,水合肼[含水36%],H4N2·H2O,50.08,10217-52-4,水合肼[含水36％],无色发烟液体，微有特殊的氨臭味,无资料,-64.9～-51.6,118,1.03(水=1),1.1(空气=1),0.67(25℃)(kPa),None,无资料,无资料,72.8,270,None,4.7,100,与水混溶，不溶于氯仿、乙醚，可混溶于乙醇,用作还原剂、溶剂、抗氧剂，用于制取药物、发泡剂N等,稳定
110,五氯化钼,MoCl5,273.19,10241-05-1,五氯化钼,暗绿色或灰黑色针状结晶，有潮解性,无意义,194,268,2.93(水=1),无资料(空气=1),0.23(25℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于干燥的乙醚、乙醇和其他无水有机溶剂,用作氯化触媒、耐火树脂的组分，用于制备有机金属化合物，如六羰基钼,稳定
111,甲胺磷,C2H8NO2PS,141.14,10265-92-6,甲胺磷,纯品为白色针状晶体，工业品为无色黏稠状液体，冷却或放置后能析出针状结晶,无意义,43(纯); 18～25(工业品),分解,1.31(水=1),无资料(空气=1),0.00004(30℃)(kPa),None,无资料,-0.8,93,无资料,None,无资料,无资料,微溶于水，溶于醇类、氯化烃，微溶于乙醚,广谱高效杀虫剂，用于防治棉红蜘蛛、蚜、螨等，对抗药性虫害有良好防治效果,稳定
112,亚砷酸铜,None,None,10290-12-7,None,淡绿色粉末。,None,(分解),None,>1.1(20℃)(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水、醇，溶于酸、氨水。,用作杀虫剂、羊毛防腐剂、颜料。,None
113,三溴化硼,BBr3,250.54,10294-33-4,三溴化硼,无色或稍带黄色的发烟液体，有强烈的刺激性臭味,无资料,-46,90～91.2,2.65(水=1),无资料(空气=1),5.33(14℃)(kPa),None,无资料,1.43,无意义,无意义,None,无意义,无意义,溶于四氯化碳、二氧化硫(液体)、二硫化碳,用于有机硼化合物和高纯硼的制取，也用作半导体的掺杂材料，有机合成的催化剂、溴化剂等,稳定
114,三氯化硼,BCl3,117.16,10294-34-5,三氯化硼,无色发烟液体或气体，有强烈臭味，易潮解,无意义,-107,12.5,1.35(水=1),4.03(空气=1),150(20℃)(kPa),178,3.9,1.16,无意义,无意义,None,无意义,无意义,溶于苯、二硫化碳,用作半导体硅的掺杂源或有机合成催化剂，还用于高纯硼或有机硼化合物的制取,稳定
115,亚磷酸,H3O3P,82,10294-56-1,Phosphorous acid,White or yellow solid.,None,73 - 74,None,1.597 g/cm3 (76 C)(水=1),None,None,None,None,0.43,None,None,None,None,None,300 g/L,"Fungicide, microbiocide.",Stable at room temperature in closed containers under normal storage and handling conditions.
116,丙苯,C9H12,120.21,103-65-1,丙苯,无色透明液体,无资料,-99.5,159.2,0.862(水=1),4.14(空气=1),0.33(20℃)(kPa),365.6,3.24,无资料,30(闭杯),450,-5209.9,0.8,6,不溶于水，可混溶于乙醇、乙醚、丙酮等多数有机溶剂,用作溶剂及有机合成,稳定
117,N-乙基苯胺,C8H11N,121.18,103-69-5,N-乙基苯胺,黄棕色透明油状液体，有苯胺气味,无资料,-63.5,204,0.96(20℃)(水=1),4.18(空气=1),0.027(25℃)(kPa),None,3.58,2.16,85(开杯),479,-4687.9,1.6,9.5,不溶于水，可混溶于乙醇、乙醚等许多有机溶剂,用于有机合成,稳定
118,异氰酸苯酯,C7H5NO,119.13,103-71-9,异氰酸苯酯,无色至浅黄色液体，有刺激性气味,无资料,-30,166,1.1(水=1),无资料(空气=1),0.25(20℃)(kPa),None,4.54,2.59,51,601,None,无资料,无资料,易溶于乙醚,用于鉴别醇及胺，制杀虫剂，也作有机合成中间体,稳定
119,异硫氰酸苯酯,C7H5NS,135.19,103-72-0,异硫氰酸苯酯,无色或淡黄色液体，有强烈刺激性气味,无资料,-21,221,1.13(水=1),4.65(空气=1),0.13(47.2℃)(kPa),None,无资料,3.28,87.8,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚,用作有机合成中间体，及合成药物，也用于生化分析,稳定
120,苯乙酰氯,C8H7ClO,154.6,103-80-0,苯乙酰氯,无色到浅黄色发烟液体,无资料,无资料,94～95(1.6kPa),1.17(水=1),无资料(空气=1),0.13(48℃)(kPa),None,无资料,1.24,102,无资料,None,无资料,无资料,易溶于乙醚,用于香料制备、有机合成，也用作实验试剂,稳定
121,苄基二甲胺,None,None,103-83-3,None,无色至淡黄色液体。,None,-75,180~182,0.9000(水=1),None,None,None,None,None,54,None,None,None,None,微溶于冷水，溶于热水，可混溶于醇、醚。,用作催化剂、阻蚀剂、中和剂，也用于有机合成。,None
122,N-苯(基)乙酰胺,None,None,103-84-4,None,无色有闪光的小叶状固体。,None,114,305,1.21(4℃)(水=1),4.65(空气=1),0.13(114℃)(kPa),None,None,None,174,540,None,None,None,溶于热水，易溶于乙醇、乙醚等。,"用于染料、制药、橡胶等工业, 曾用作退热镇痛药。",None
123,威菌磷[含量>20%],None,None,1031-47-6,None,白色固体，无味。,None,167~168,None,None,None,None,None,None,None,无意义,None,None,None,None,微溶于水，溶于多数有机溶剂。,用作农用杀菌剂、杀虫剂。,None
124,氯亚磷,None,None,10311-84-9,None,白色结晶。,None,67~69,None,None,None,None,None,None,None,无意义,None,None,None,None,不溶于水，溶于丙酮、环己烷。,用作农用杀螨剂。,None
125,硝酸镉,Cd(NO3)2,236.42,10325-94-7,硝酸镉,无色针状或棱形晶体，有吸潮性，在空气中会潮解,无意义,350(分解),132(四水合物),3.6(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水，溶于乙醇、丙酮、乙酸乙酯、乙醚,用于制瓷器和玻璃上色等,稳定
126,氯酸镁,Mg(ClO3)2,191.21,10326-21-3,氯酸镁,白色结晶或粉末，味苦，有吸湿性,无意义,35,120(分解),1.80(水=1),无资料(空气=1),None,None,无意义,-6.53,无意义,无意义,None,无意义,无意义,溶于水，微溶于乙醇、丙酮,用作医药、干燥剂、除草剂及脱叶剂,稳定
127,亚砷酸锌,None,None,10326-24-6,None,白色粉末。,None,None,None,None,None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，溶于酸。,用作木材防腐剂、杀虫剂。,None
128,氯化钡,BaCl2,208.24,10361-37-2,氯化钡,无色晶体或白色粉末，无臭,无意义,963,1560,3.86(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水，不溶于丙酮、乙醇，微溶于乙酸、硫酸,用作制造钡盐的原料。也用作杀虫剂、人造丝的消光剂及用于制造色淀和颜料,稳定
129,硝酸铋,Bi(NO3)3,394.98,10361-44-1,硝酸铋,无色透明有光泽结晶，有吸湿性,无意义,75～80(分解),分解,2.83(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于稀硝酸、乙醇、丙酮,用于药物和铋盐制造，用作各种触媒原料,稳定
130,氯酸锌,None,None,10361-95-2,None,无色至黄色易潮解的结晶。,None,60(分解),None,2.15(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水、乙醇、甘油、乙醚。,用作氧化剂。,None
131,硝酸镁,Mg(NO3)2·6H2O,256.43,10377-60-3,硝酸镁,白色、易潮解的单斜晶体，有苦味,无意义,89,330(分解),1.464(水=1),6.0(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，溶于乙醇、乙醚、液氨,主要用于制造烟花，也用作化学试剂,稳定
132,丁苯,C10H14,134.24,104-51-8,丁苯,无色透明液体,无资料,-87.9,183.3,0.86(水=1),4.6(空气=1),0.14(25℃)(kPa),446.85,3.65,4.38,59.4(闭杯); 71(开杯),410,-5872.5,0.8,5.8,不溶于水，溶于乙醇等多数有机溶剂,用作溶剂及有机合成,稳定
133,2-乙基己胺,C8H19N,129.28,104-75-6,2-乙基己胺,无色透明液体,无资料,-76,169.2,0.79(水=1),4.45(空气=1),0.16(20℃)(kPa),None,无资料,2.82,52(开杯),295,None,1.1,无资料,溶于水，溶于乙醇、丙酮,用于合成去垢剂，橡胶化学品，油类添加剂和杀虫剂等,稳定
134,3-二乙氨基丙胺,None,None,104-78-9,None,无色液体，具有鱼腥气味。,None,-60,165~170,0.8260(20℃)(水=1),4.48(空气=1),None,None,None,None,58(℃),None,None,None,None,与水混溶。,用作溶剂，萃取剂，环氧树脂固化剂及用于有机合成。,None
135,4-氯苄基氯,None,None,104-83-6,None,白色固体。,None,28~30,None,None,None,None,None,None,None,97,None,None,None,None,微溶于苯等多数有机溶剂。,用于有机合成。,None
136,4-甲基苯甲腈,None,None,104-85-8,None,白色至黄色针状结晶。,None,29.5,217.6,0.9810(水=1),None,None,None,None,None,85,None,None,None,None,不溶于水，易溶于醇、醚。,用于有机合成。,None
137,2-甲基-5-乙基吡啶,None,None,104-90-5,None,"无色液体,有刺激性气味。",None,-70.3,178,0.9184(23/4℃)(水=1),None,None,None,None,None,60,None,None,None,None,不溶于水，溶于乙醇、乙醚、苯、稀酸。,用于有机合成。,None
138,4-亚硝基(苯)酚,ONC6H4OH,123.11,104-91-6,None,黄色针状结晶或棕色片状结晶，易燃有毒。能溶于乙醇、乙醚和丙酮，不溶于水。与含酸含碱的物质接触易爆炸或着火。溶于稀碱液面得到绿色或棕色液体。熔点：124～126℃；144℃(分解)。本品属易燃品，遇明火、受高热或接触浓酸、浓碱有引起燃烧爆炸的危险。,None,124～126℃；144℃(分解),None,None,None,None,None,None,None,None,None,None,None,None,None,主要用于制造染料。,None
139,对溴苯甲醚,C7H7BrO,187.05,104-92-7,对溴苯甲醚,无色或淡黄色液体,无资料,9～13.5,215～223,1.46(水=1),1.49(空气=1),None,None,无资料,3.05,94,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚、氯仿,用作溶剂及用于有机合成,稳定
140,4-甲氧基苯胺,None,None,104-94-9,None,熔融状的固体。,None,57.2,242,1.09(水=1),None,1.73(kPa),None,None,None,None,515,None,None,None,微溶于水，溶于乙醇、乙醚、丙酮、苯等多数有机溶剂。,主要用于制取冰染染料，也作为医药中间体。,None
141,硝酸铁,Fe(NO3)3·9H2O,403.98,10421-48-4,硝酸铁,无色或淡紫色的单斜结晶，易潮解,无意义,47.2,125(分解),1.68(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水、乙醇、丙酮,用作媒染剂、医药、分析试剂、催化剂等,稳定
142,高碘酸,H5IO6,227.94,10450-60-9,高碘酸,无色或白色结晶，无臭。有潮解性,无意义,122,140(分解),无资料(水=1),7.9(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于水、乙醇，微溶于乙醚,用作氧化剂,稳定
143,"1,4-二乙基苯",C10H14,134.21,105-05-5,"1,4-二乙基苯",无色液体,无资料,-42.8,183.7,0.86(水=1),4.6(空气=1),1.33(62.8℃)(kPa),None,2.8,4.45,55(闭杯),430,None,0.7,6,不溶于水，溶于乙醇、苯、四氯化碳、乙醚、丙酮等多数有机溶剂,用作溶剂、有机合成中间体,稳定
